Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
29067 Málaga;Sección 2906708035;1050;6;42;63;57;72;129;270;246;129;39;0;0;0;0;0;0
29067 Málaga;Sección 2906708036;537;3;36;66;51;93;87;69;63;45;21;0;0;0;0;0;0
29067 Málaga;Sección 2906708039;729;3;36;72;93;126;108;78;60;69;81;6;0;0;0;0;0
29067 Málaga;Sección 2906708040;1023;3;21;69;90;177;291;183;99;60;21;6;0;0;0;0;0
29067 Málaga;Sección 2906708041;585;3;30;54;66;63;72;54;99;99;39;3;3;0;0;0;0
29067 Málaga;Sección 2906708042;909;6;21;66;69;144;213;141;105;96;48;3;0;0;0;0;0
29067 Málaga;Sección 2906708043;1209;3;45;87;69;111;264;255;162;159;51;3;0;0;0;0;0
29067 Málaga;Sección 2906708044;1119;3;30;93;132;159;165;183;150;120;78;9;3;0;0;0;0
29067 Málaga;Sección 2906708052;531;3;27;60;51;63;54;48;72;93;48;3;3;0;0;0;0
29067 Málaga;Sección 2906708054;954;3;42;69;51;60;96;252;216;120;39;0;0;0;0;0;0
29067 Málaga;Sección 2906708055;654;0;18;48;72;72;120;102;111;72;36;3;3;0;0;0;0
29067 Málaga;Sección 2906708056;732;3;21;30;54;75;105;240;138;45;15;3;0;0;0;0;0
29067 Málaga;Sección 2906708057;1218;6;33;72;69;114;171;336;240;129;48;6;0;3;0;0;0
29067 Málaga;Sección 2906708058;972;3;27;48;63;126;204;261;126;66;36;3;0;0;0;0;0
29067 Málaga;Sección 2906708059;990;3;24;42;51;120;219;276;165;63;33;3;0;0;0;0;0
29067 Málaga;Sección 2906708061;1185;0;30;45;66;132;339;315;153;81;27;0;0;0;0;0;0
29067 Málaga;Sección 2906708063;1272;3;27;60;129;216;273;237;156;117;39;6;3;3;0;0;0
29067 Málaga;Sección 2906708064;600;3;21;51;51;102;129;87;63;66;27;3;3;0;0;0;0
29067 Málaga;Sección 2906708065;717;0;9;18;51;171;231;144;63;21;9;3;0;0;0;0;0
29067 Málaga;Sección 2906708066;1092;3;12;21;165;375;306;117;48;30;9;0;0;0;0;0;0
